f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,y_1,y_2
6.58,10.31,2.91,6.18,59.91,48.07,64.12,75.32,60.32,0,0
4.48,3.37,1.81,73.49,13.8,42.93,68.59,37.5,66.0,0,0
13.23,9.25,9.83,29.44,23.81,64.63,73.8,34.08,60.01,0,0
5.48,20.77,12.83,10.16,58.38,96.51,25.63,41.67,29.05,0,0
6.19,15.21,2.84,36.49,3.05,82.02,73.35,55.36,58.16,0,0
9.57,5.11,3.53,46.27,22.22,92.6,57.71,49.09,40.03,1,1
18.77,11.5,25.54,2.26,71.67,96.88,41.59,30.2,57.93,1,0
8.19,3.81,1.17,48.65,80.71,63.06,61.28,46.96,48.01,1,1
18.31,5.11,4.35,87.48,65.75,63.75,56.55,48.6,60.01,0,0
21.6,6.64,1.07,67.13,95.18,56.93,47.61,40.91,30.69,1,1
4.86,4.05,22.65,29.63,77.77,75.6,49.65,65.68,39.87,1,0
3.54,4.86,2.31,61.22,95.93,88.47,56.66,44.67,25.35,1,1
12.99,2.56,2.94,46.28,4.51,25.89,46.56,58.67,49.19,0,0
37.74,9.96,3.49,28.79,73.25,11.62,72.36,29.6,47.88,0,0
2.74,1.32,16.21,89.83,53.07,97.01,81.0,48.86,80.91,1,0
2.18,8.61,4.35,24.13,85.7,18.12,49.33,41.1,59.2,0,1
11.03,6.23,27.94,20.82,33.64,63.51,56.26,68.65,30.38,0,0
26.29,11.97,5.37,68.57,31.33,15.28,49.86,44.92,65.62,0,0
7.71,4.94,1.69,16.5,98.77,96.0,49.97,19.89,57.87,1,1
5.74,17.15,8.48,68.46,85.13,65.06,46.68,61.64,39.94,0,1
10.35,9.22,1.39,35.64,2.29,56.2,55.13,40.05,55.22,0,1
7.52,19.33,3.0,58.67,43.12,87.48,52.19,40.54,33.03,0,0
1.34,5.13,29.33,45.14,22.54,90.47,57.9,36.29,43.08,0,0
10.55,32.42,15.48,98.65,77.32,93.62,39.63,36.39,55.35,0,0
11.94,4.65,16.88,41.94,55.86,7.5,58.78,40.53,57.29,1,0
24.47,5.9,22.16,87.5,96.88,68.95,53.03,37.75,39.32,1,0
2.57,4.19,1.15,23.09,24.31,43.02,39.38,42.58,41.95,0,1
20.13,36.87,9.4,64.47,68.88,89.6,29.53,49.1,62.5,0,0
18.01,10.8,9.08,91.15,85.66,47.35,79.63,34.24,68.32,0,0
1.81,9.36,3.29,37.45,80.02,88.06,75.67,41.85,52.84,0,1
14.41,9.1,7.95,25.52,69.05,92.12,37.79,28.48,47.34,0,0
20.4,12.88,4.81,35.95,29.57,60.12,55.78,54.82,30.9,0,1
7.11,12.66,19.19,30.75,71.68,62.53,43.3,28.87,44.18,0,0
8.76,7.76,1.3,50.32,41.56,91.75,43.59,48.36,11.99,0,1
6.89,8.5,1.48,24.25,78.76,86.45,32.26,52.43,41.38,1,1
2.03,8.08,2.22,91.22,42.13,8.44,66.12,57.58,46.43,1,1
1.59,7.04,22.88,39.22,12.3,44.63,52.82,37.36,55.67,0,0
12.23,1.69,12.58,40.64,44.42,6.26,31.92,35.14,27.5,1,0
2.27,3.23,6.5,62.35,97.77,43.01,39.79,53.37,56.71,1,0
4.6,1.14,11.07,32.4,37.11,31.09,46.37,46.98,40.04,1,0
8.1,3.4,13.58,95.37,18.69,18.81,64.78,55.99,67.53,0,0
32.98,4.76,5.1,89.65,33.25,78.98,40.09,36.58,76.99,0,0
21.5,5.18,7.38,40.84,9.67,6.87,63.87,42.87,32.51,0,0
37.43,2.62,26.59,84.22,8.07,48.71,41.19,42.15,69.56,0,0
6.23,22.52,14.46,90.71,38.81,70.32,31.09,56.45,42.05,0,0
8.56,6.82,14.46,36.45,40.53,21.23,49.87,37.52,56.5,0,1
15.42,1.35,1.54,57.98,82.73,19.2,63.71,43.38,69.83,1,0
2.63,19.78,3.52,78.26,63.15,13.77,57.61,41.55,79.37,0,1
15.99,6.93,11.5,77.66,42.14,33.53,41.08,35.32,46.21,0,0
5.81,10.35,9.7,36.68,62.2,51.54,52.34,28.77,44.08,0,0
24.2,3.61,5.09,25.99,4.18,90.64,48.91,49.18,16.62,0,0
29.4,1.5,8.25,70.94,51.29,1.86,49.25,39.41,60.32,1,0
3.33,1.46,7.51,11.07,11.75,84.53,36.19,39.57,49.76,1,0
9.24,3.0,33.93,26.42,16.71,88.34,53.06,43.76,57.45,0,0
10.49,6.1,4.45,90.53,77.41,79.49,40.62,72.61,68.81,0,1
13.36,4.01,6.66,23.2,36.4,28.35,65.77,15.24,51.19,0,0
15.64,12.42,4.01,49.38,90.83,77.69,41.17,63.69,39.13,1,1
3.91,13.45,5.87,58.97,68.85,89.25,47.22,64.65,69.98,0,0
17.0,5.67,3.66,5.25,80.32,78.63,50.88,27.52,58.86,0,0
18.06,15.01,6.91,32.83,93.51,53.51,48.78,42.97,47.2,0,0
1.04,2.72,3.01,37.77,48.29,31.42,45.81,31.8,35.77,0,1
15.03,6.69,5.1,39.92,84.28,45.45,34.13,50.39,37.26,1,0
5.56,15.25,21.59,44.58,98.55,98.44,49.29,42.02,25.22,1,0
4.33,10.57,6.34,38.05,27.83,69.85,71.7,37.7,72.59,0,0
